t,spot,bid,ask,mark,oracle,deskBid,deskAsk,lean,dislocationBps,mapBelowNtl,mapAboveNtl,forcedSellNtl,forcedBuyNtl,baseDesk,quoteDesk,baseControl,quoteControl,pnlDeskBps,pnlControlBps,absorbedDeskNtl,absorbedControlNtl,arbDeskNtl,arbControlNtl,markoutDesk5mBps,markoutDesk15mBps,markoutDesk60mBps,markoutControl5mBps,markoutControl15mBps,markoutControl60mBps,baseHard,quoteHard,pnlHardBps,absorbedHardNtl,arbHardNtl,markoutHard5mBps,markoutHard15mBps,markoutHard60mBps,absorbedTouchNtl,markoutTouch5mBps,markoutTouch15mBps,markoutTouch60mBps,lvrDeskNtl,lvrControlNtl,lvrHardNtl,basePegged,quotePegged,pnlPeggedBps,absorbedPeggedNtl,arbPeggedNtl,markoutPegged5mBps,markoutPegged15mBps,markoutPegged60mBps,lvrPeggedNtl
1760130180,1149550,1149185,1150275,1149730,1149550,1146886,1152576,0,-1,0,0,0,0,4000000000,4598200000000,4000000000,4598200000000,0,0,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,0,0,0,0,0,0,0
1760130240,1150943,1150934,1151930,1151432,1150943,1148632,1154234,0,-4,0,0,0,0,4000000000,4598200000000,4000000000,4598200000000,6,6,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,6,0,0,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,6,0,0,0,0,0,0
1760130300,1150705,1150645,1151423,1151034,1150705,1148343,1153726,0,-2,0,0,0,0,4000000000,4598200000000,4000000000,4598200000000,5,5,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,5,0,0,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,5,0,0,0,0,0,0
1760130360,1149840,1149557,1150218,1149887,1149840,1147257,1152519,0,0,0,0,0,0,4000000000,4598200000000,4000000000,4598200000000,1,1,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,1,0,0,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,1,0,0,0,0,0,0
1760130420,1146915,1145832,1146629,1146230,1146915,1143540,1148923,0,5,0,0,0,0,4000000000,4598200000000,4005059114,4592391641788,-11,-11,0,0,0,5800,0,0,0,0,0,0,4000000000,4598200000000,-11,0,0,0,0,0,0,0,0,0,0,7,0,4000000000,4598200000000,-11,0,0,0,0,0,0
1760130480,1144760,1143272,1144099,1143685,1144760,1140985,1146388,0,9,0,0,0,0,4000000000,4598200000000,4009515291,4587287655764,-20,-20,0,0,0,5098,0,0,0,0,0,0,4000000000,4598200000000,-20,0,0,0,0,0,0,0,0,0,0,5,0,4000000000,4598200000000,-20,0,0,0,0,0,0
1760130540,1144850,1143712,1144327,1144019,1144850,1141424,1146616,0,7,0,0,0,0,4000000000,4598200000000,4009515291,4587287655764,-20,-20,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,-20,0,0,0,0,0,0,0,0,0,0,0,0,4000000000,4598200000000,-20,0,0,0,0,0,0
1760130600,1143700,1142480,1143033,1142756,1143700,1140195,1145320,0,8,0,0,0,0,4000000000,4598200000000,4009515291,4587287655764,-25,-25,0,0,0,0,0,0,0,0,0,0,4005355324,4592070437795,-25,0,6121,0,0,0,0,0,0,0,0,0,8,4000000000,4598200000000,-25,0,0,0,0,0,0
1760130660,1136994,1134030,1135168,1134599,1136994,1131761,1137439,0,21,0,0,0,0,4000000000,4598200000000,4025300701,4569298386934,-54,-54,0,0,0,17919,0,0,0,0,0,0,4019163838,4576340775611,-54,0,15674,0,0,0,0,0,0,0,0,70,54,4000000000,4598200000000,-54,0,0,0,0,0,0
1760130720,1130802,1126594,1128180,1127387,1130802,1128180,1130437,1,30,0,0,0,0,4000000000,4598200000000,4037684156,4555284487191,-81,-81,0,0,0,13970,0,0,0,0,0,0,4031685922,4562169548565,-81,0,14127,0,0,0,0,0,0,0,0,43,44,4004633254,4592966768833,-81,0,5227,0,0,0,6
1760130780,1120212,1113696,1116165,1114930,1120212,1115366,1118398,1,47,9771884,0,9771884,0,4008722440,4588464317776,4059416369,4530897628650,-127,-128,9735,0,0,24256,-184,-182,202,0,0,0,4053331018,4537879914771,-128,0,24159,0,0,0,9771,-162,-160,225,0,130,130,4011852532,4584894199660,-127,0,8057,0,0,0,14
1760130840,1122871,1118151,1120505,1119328,1122871,1119828,1122747,1,31,0,0,0,0,4008722440,4588464317776,4059416369,4530897628650,-115,-116,0,0,0,0,0,0,0,0,0,0,4053331018,4537879914771,-116,0,0,0,0,0,0,0,0,0,0,0,0,4016091146,4580139806045,-116,0,4749,0,0,0,5
1760130900,1111827,1104746,1107927,1106336,1111827,1106403,1110143,1,49,3791222,0,3791222,0,4012132120,4584686641264,4074396312,4514239310947,-164,-165,3777,0,0,16596,-257,93,276,0,0,0,4068454460,4521061921780,-165,0,16755,0,0,0,3791,-229,122,306,0,61,62,4023146780,4572308919286,-164,0,7817,0,0,0,13
1760130960,1093558,1082482,1087164,1084823,1093558,1084105,1089339,1,79,12797933,0,12797933,0,4023834280,4571964474208,4113193758,4471659027547,-243,-246,12722,0,0,42179,-102,231,454,0,0,0,4107310543,4478418758900,-246,0,42242,0,0,0,12797,-59,275,499,0,401,400,4034969294,4559418195507,-244,0,12853,0,0,0,37
1760131020,1086472,1075464,1080219,1077841,1086472,1077077,1082380,1,79,0,0,0,0,4023834280,4571964474208,4126367218,4457383220713,-274,-278,0,0,0,14230,0,0,0,0,0,0,4120306527,4464335485570,-277,0,14038,0,0,0,0,0,0,0,0,45,44,4046632823,4546782622362,-275,0,12599,0,0,0,36
1760131080,1095578,1088371,1093515,1090943,1095578,1090003,1095703,1,42,0,5174356,0,5174356,4023834280,4571964474208,4110084186,4475042159083,-234,-237,0,862,0,16796,0,0,0,33,-421,-441,4116342895,4468647152230,-237,4311,0,26,-429,-448,5174,78,-374,-394,0,63,0,4046632823,4546782622362,-235,0,0,0,0,0,0
